,datetime,temp,atemp,humidity,windspeed,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,season_2,season_3,season_4,holiday_1,workingday_1,weather_2,weather_3,count_predicted
0,2012-06-05 05:00:00,19.68,23.485,82.0,11.0014,0.9659258262890683,0.25881904510252074,0.8486442574947509,0.5289640103269624,1.2246467991473532e-16,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,22
1,2011-03-19 19:00:00,18.04,21.97,33.0,19.0012,-0.9659258262890684,0.2588190451025203,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96
2,2012-04-02 06:00:00,13.88503793,16.24664,68.0,29.52646002,1.0,6.123233995736766e-17,0.39435585511331855,0.9189578116202306,0.8660254037844387,-0.49999999999999983,1.0,0.0,0.0,0.0,1.0,0.0,0.0,63
3,2012-07-13 20:00:00,30.34,33.335,48.0,8.9981,-0.8660254037844386,0.5000000000000001,0.48530196253108104,-0.8743466161445821,-0.4999999999999998,-0.8660254037844388,0.0,1.0,0.0,0.0,1.0,0.0,0.0,528
4,2011-11-09 19:00:00,18.04,21.97,72.0,7.0015,-0.9659258262890684,0.2588190451025203,0.9680771188662043,-0.2506525322587204,-0.5000000000000004,0.8660254037844384,0.0,0.0,1.0,0.0,1.0,0.0,0.0,329
5,2012-03-10 00:00:00,12.3,13.635,36.0,23.9994,0.0,1.0,0.8978045395707416,-0.4403941515576344,1.0,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65
6,2011-05-19 13:00:00,23.78,27.275,64.0,16.9979,-0.2588190451025208,-0.9659258262890683,-0.651372482722222,-0.7587581226927911,0.49999999999999994,-0.8660254037844387,1.0,0.0,0.0,0.0,1.0,0.0,1.0,97
7,2011-05-01 08:00:00,18.04,21.97,77.0,8.9981,0.8660254037844387,-0.49999999999999983,0.20129852008866006,0.9795299412524945,0.49999999999999994,-0.8660254037844387,1.0,0.0,0.0,0.0,0.0,1.0,0.0,106
8,2012-07-07 08:00:00,33.62,41.665,63.0,12.998,0.8660254037844387,-0.49999999999999983,0.9884683243281114,0.1514277775045767,-0.4999999999999998,-0.8660254037844388,0.0,1.0,0.0,0.0,0.0,0.0,0.0,97
9,2011-05-07 16:00:00,24.6,31.06,38.0,12.998,-0.8660254037844384,-0.5000000000000004,0.9884683243281114,0.1514277775045767,0.49999999999999994,-0.8660254037844387,1.0,0.0,0.0,0.0,0.0,0.0,0.0,712
10,2011-04-09 11:00:00,14.76,18.18,81.0,0.0,0.258819045102521,-0.9659258262890682,0.9680771188662043,-0.2506525322587204,0.8660254037844387,-0.49999999999999983,1.0,0.0,0.0,0.0,0.0,1.0,0.0,141
11,2011-06-16 04:00:00,22.96,26.515,68.0,7.0015,0.8660254037844386,0.5000000000000001,-0.10116832198743204,-0.9948693233918952,1.2246467991473532e-16,-1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,10
12,2012-07-13 22:00:00,30.34,33.335,45.0,0.0,-0.5000000000000004,0.8660254037844384,0.48530196253108104,-0.8743466161445821,-0.4999999999999998,-0.8660254037844388,0.0,1.0,0.0,0.0,1.0,0.0,0.0,252
13,2012-03-02 14:00:00,18.55576241,21.26204857,49.0,19.08383766,-0.4999999999999998,-0.8660254037844388,0.39435585511331855,0.9189578116202306,1.0,6.123233995736766e-17,0.0,0.0,0.0,0.0,1.0,1.0,0.0,153
14,2012-05-18 15:00:00,27.06,31.06,36.0,12.998,-0.7071067811865471,-0.7071067811865479,-0.4853019625310808,-0.8743466161445822,0.49999999999999994,-0.8660254037844387,1.0,0.0,0.0,0.0,1.0,0.0,0.0,372
15,2011-12-14 22:00:00,13.94,16.665,66.0,11.0014,-0.5000000000000004,0.8660254037844384,0.29936312297335804,-0.9541392564000488,-2.4492935982947064e-16,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,138
